20,1300,1300,0,0,1
40,1300,1300,0,0,1
60,1300,1300,0,0,1
80,1300,1300,0,0,1
100,1300,1300,0,0,1
120,1300,1300,0,0,1
140,1300,1300,0,0,1
160,1300,1300,0,0,1
180,1300,1300,0,0,1
200,1300,1300,0,0,1
220,1300,1300,0,0,1
240,1300,1300,0,0,1
260,1300,1300,0,0,1
280,1300,1300,0,0,1
300,1300,1300,0,0,1
320,1300,1300,0,0,1
340,1300,1300,0,0,1
360,1300,1300,0,0,1
380,1300,1300,0,0,1
400,1300,1300,0,0,1
420,1300,1300,0,0,1
441,1300,1300,0,0,1
463,1300,1300,0,0,1
485,1300,1300,0,0,1
506,1300,1300,0,0,1
529,1300,1300,0,0,1
550,1300,1300,0,0,1
572,1300,1300,0,0,1
594,1300,1300,0,0,1
616,1300,1300,0,0,1
637,1300,1300,0,0,1
660,1300,1300,0,0,1
681,1300,1300,0,0,1
703,1300,1300,0,0,1
724,1300,1300,0,0,1
747,1300,1300,0,0,1
769,1300,1300,0,0,1
790,1300,1300,0,0,1
813,1300,1300,0,0,1
834,1300,1300,0,0,1
856,1300,1300,0,0,1
878,1300,1300,0,0,1
900,1300,1300,0,0,1
921,1300,1300,0,0,1
944,1300,1300,0,0,1
965,1300,1300,0,0,1
987,1300,1300,0,0,1
1009,1300,1300,0,0,1
1032,1300,1300,0,0,1
1054,1300,1300,0,0,1
1078,1300,1300,0,0,1
1100,1300,1300,0,0,1
1123,1300,1300,0,0,1
1146,1300,1300,0,0,1
1169,1300,1300,0,0,1
1192,1300,1300,0,0,1
1215,1300,1300,0,0,1
1238,1300,1300,0,0,1
1261,1300,1300,0,0,1
1284,1300,1300,0,0,1
1306,1300,1300,0,0,1
1330,1300,1300,0,0,1
1352,1300,1300,0,0,1
1375,1300,1300,0,0,1
1398,1300,1300,0,0,1
1421,1300,1300,0,0,1
1443,1300,1300,0,0,1
1467,1300,1300,0,0,1
1489,1300,1300,0,0,1
1512,1300,1300,0,0,1
1536,1300,1300,0,0,1
1558,1300,1300,0,0,1
1581,1300,1300,0,0,1
1604,1300,1300,0,0,1
1627,1300,1300,0,0,1
1649,1300,1300,0,0,1
1673,1300,1300,0,0,1
1695,1300,1300,0,0,1
1718,1300,1300,0,0,1
1741,1300,1300,0,0,1
1764,1300,1300,0,0,1
1786,1300,1300,0,0,1
1810,1300,1300,0,0,1
1832,1300,1300,0,0,1
1855,1300,1300,0,0,1
1879,1300,1300,0,0,1
1901,1300,1300,0,0,1
1925,1300,1300,0,0,1
1947,1300,1300,0,0,1
1970,1300,1300,0,0,1
1993,1300,1300,0,0,1
2016,1300,1300,0,0,1
2038,1300,1300,0,0,1
2062,1300,1300,0,0,1
2084,1300,1300,0,0,1
2107,1300,1300,0,0,1
2130,1300,1300,0,0,1
2153,1300,1300,0,0,1
2176,1300,1300,0,0,1
2199,1300,1300,0,0,1
2222,1300,1300,0,0,1
2244,1300,1300,0,0,1
2268,1300,1300,0,0,1
2290,1300,1300,0,0,1
2313,1300,1300,0,0,1
2336,1300,1300,0,0,1
2359,1300,1300,0,0,1
2381,1300,1300,0,0,1
2405,1300,1300,0,0,1
2427,1300,1300,0,0,1
2450,1300,1300,0,0,1
2473,1300,1300,0,0,1
2496,1300,1300,0,0,1
2519,1300,1300,0,0,1
2542,1300,1300,0,0,1
2565,1300,1300,0,0,1
2587,1300,1300,0,0,1
2611,1300,1300,0,0,1
2633,1300,1300,0,0,1
2657,1300,1300,0,0,1
2679,1300,1300,0,0,1
2702,1300,1300,0,0,1
2725,1300,1300,0,0,1
